Date,Day,Reactor,SampleID in BioProject PRJNA1197561 (NCBI),Temp (¢XC),pH,ORP (mV),EC (mS/cm),Alkalinity (mg CaCO3/L),Inf Nacl (%),Inf Sucrose (mg/L),Inf aspartic acid (mg/L),Eff Formate (mg/L),Eff Acetate (mg/L),Eff Propionate (mg/L),Eff Isobutyrate (mg/L),Eff Butyrate (mg/L),Eff Isovalerate (mg/L),Eff COD (mg/L),"Gas production (L/day, NTP)",H2 (%),N2 (%),CH4 (%),CO2 (%),DNA Concentration (ng/uL),measured HRT (day),measured ORL(kg-COD/m3/day)
2022/10/16,15,D4,Daughter4_D015,32.99,6.37,-431.88,12.44,1458.1,0.6,2000,133.1,1.19,72.02,58.92,16.02,0,3.55,80,0.5023,0.00E+00,13.6,59.28,27.12,84.122,2.08,0.92
2022/10/17,16,D4,Daughter4_D016,32.89,6.35,-434.7,12.88,1466.85,0.8,2000,133.1,1.22,62.1,48.87,2.74,0,2.74,210,0.6619,0.00E+00,15.04,57.38,27.58,281.908,2.11,1.11
2022/10/18,17,D4,Daughter4_D017,32.97,6.36,-389.8,13.97,1500.45,0.8,2000,133.1,1.28,65.95,41.59,2.71,0,2.96,220,0.4403,0.00E+00,20.3,56.18,23.53,275.219,2.19,1.1
2022/10/19,18,D4,Daughter4_D018,32.47,6.34,-418.89,14.75,1472.45,0.8,2000,133.1,1.35,97.34,81.72,3.54,0.82,5.36,280,0.4775,0.00E+00,15.86,56.69,27.45,291.652,2.19,1.11
2022/10/20,19,D4,Daughter4_D019,33.03,6.35,-437.65,15.17,1497.25,0.8,2000,133.1,1.33,78.15,73.31,4.03,0,5.3,470,0.7868,0.00E+00,14.27,58.57,27.16,286.29,2.15,1.1
2022/10/21,20,D4,Daughter4_D020,33.15,6.36,-440.75,15.48,1532.15,0.8,2000,133.1,,,,,,,190,0.5508,,,,,313.64,2.29,1.11
2022/10/22,21,D4,Daughter4_D021,32.79,6.36,-441.22,16.21,1536.05,1,2000,133.1,0.54,34.1,29.48,2.39,0,0,150,0.8954,,,,,252.875,,0.55
2022/10/23,22,D4,Daughter4_D022,33.49,6.34,-444,16.55,1535.05,1,2000,133.1,0.47,30.62,29.76,2.68,0,2.84,40,,,,,,280.278,1.9,1.17
2022/10/24,23,D4,Daughter4_D023,33.29,6.35,-444.67,17.19,1535.05,1,2000,133.1,0.25,46.82,54.52,4.04,0,4.16,470,,0.00E+00,31,52.78,16.22,300.03,2.09,1.06
2022/10/25,24,D4,Daughter4_D024,33.34,6.33,-423.53,18.36,1556.6,1,2000,133.1,1.25,57.81,61.97,4.84,0,5.18,780,0.5405,0.00E+00,34.19,44.31,21.5,281.842,2.18,1.1
2022/10/26,25,D4,Daughter4_D025,33.45,6.36,-445,18.52,1552.95,1,2000,133.1,1.19,42.16,70.53,5.33,0,4.8,230,0.8517,0.00E+00,19.15,55.17,25.68,306.925,2.19,1.09
2022/10/27,26,D4,Daughter4_D026,33.7,6.39,-448.36,18.96,1568.7,1.2,2000,133.1,1.17,21.71,0,3.71,0,0,500,0.4523,0.00E+00,17.22,56.58,26.2,287.491,2.18,1.09
2022/10/28,27,D4,Daughter4_D027,33.49,6.38,-446.33,19.3,1575.25,1.2,2000,133.1,0.46,17.81,43.03,3.19,0,0.58,,0.846,,,,,264.423,2.23,1.12
2022/10/29,28,D4,Daughter4_D028,33.35,6.36,-445.04,19.9,1499.45,1.2,2000,133.1,1.2,16,55.51,3.79,0,0,170,0.7572,0.00E+00,14.5,58.38,27.12,286.874,2.09,1.14
2022/10/30,29,D4,Daughter4_D029,33.35,6.36,-445.17,20.6,1514.35,1.2,2000,133.1,1.32,14.1,46.76,2.8,0,0,100,0.7817,0.00E+00,17.57,57.93,24.5,307.829,2.23,1.07
2022/10/31,30,D4,Daughter4_D030,32.73,6.37,-443.87,20.8,1521.5,1.2,2000,133.1,0.83,15.57,62.34,3.22,0,0,180,0.7292,0.00E+00,14.73,57.49,27.77,265.206,2.25,1.09
2022/11/1,31,D4,Daughter4_D031,33.13,6.35,-442.92,21.9,1530.35,1.4,2000,133.1,0.93,17.78,104.46,2.68,0,0,380,0.6597,0.00E+00,13.71,57.93,28.36,399.721,2.23,1.06
2022/11/2,32,D4,Daughter4_D032,33.16,6.34,-441.43,22.3,1528.9,1.4,2000,133.1,2.38,19.08,105.56,3.29,0,0,110,0.5831,0.00E+00,16.67,56.24,27.1,286.667,2.22,1.26
2022/11/3,33,D4,Daughter4_D033,32.38,6.35,-439.77,23.1,1467.8,1.4,2000,133.1,1.39,15.27,90.88,2.06,0,0,270,0.5352,0.00E+00,17.17,57.35,25.48,266.625,2.25,1.14
2022/11/4,34,D4,Daughter4_D034,33.01,6.32,-439.52,23.5,1514.5,1.4,2000,133.1,1.06,19.21,132.17,3.11,0,0,160,0.5707,0.00E+00,14.21,57.17,28.62,305.591,2.26,1.05
2022/11/5,35,D4,Daughter4_D035,33,6.34,-441.13,23.9,1525.15,1.4,2000,133.1,1.05,17.8,121.04,2.41,0,0,250,0.5768,0.00E+00,32.06,50.55,17.4,298.549,2.45,1.15
2022/11/6,36,D4,Daughter4_D036,33.05,6.34,-443.21,24.4,1501.3,1.6,2000,133.1,1.65,14.28,90.27,0,0,0,210,0.6585,,,,,318.242,2.23,1.06
2022/11/7,37,D4,Daughter4_D037,33.2,6.31,-438.31,25.7,1504.65,1.6,2000,133.1,1.2,17.71,118.05,2.55,0,0,270,0.7109,,,,,318.356,2.27,1.1
2022/11/8,38,D4,Daughter4_D038,33.35,6.29,-424.23,26.4,1468.3,1.6,2000,133.1,1.65,44.45,132.24,3.04,0,2.49,330,0.461,0.00E+00,18.31,55.17,26.51,267.007,2.25,1.1
